GeneID	Expression
b2106	True
argU	True
b1090	False
b3994	True
glyW	True
b4620	True
b4140	True
b2038	False
b2594	False
b1507	False
b4317	True
b0391	False
b0261	True
b1210	False
b3401	False
b3470	False
b1958	False
b0447	False
b2034	False
b3439	True
b1693	True
b1084	False
b2495	False
b2253	True
b1740	False
b2792	True
b0415	False
b0062	True
b2924	False
b2599	False
b4255	False
b0916	True
b3389	False
b0596	True
b4113	True
serW	True
b1423	True
b4551	True
b4133	True
b2747	False
b2496	False
b4372	False
b4378	True
b1949	True
b1652	False
b1869	False
rrlH	True
b0853	False
ryeA	True
b3256	False
b1274	False
b0529	False
b3460	False
b3964	False
b0661	False
b2806	False
b0891	False
b1505	True
b1942	True
b1268	True
b3535	True
b2901	False
b0762	True
b0410	False
b3526	False
b1539	False
b2231	False
b2963	False
b3043	True
b2399	True
b4055	True
b1891	True
b2395	False
b3010	False
b1298	True
b2928	False
b2250	True
b2838	True
b4112	False
b2560	False
aspV	True
b3232	False
rrlE	True
b2292	False
b0742	False
b1810	True
b4352	False
b4703	False
b3935	False
b0126	False
b3820	True
b3487	True
b1445	True
b3255	False
b1216	True
b3338	False
b3897	True
b0477	False
b0145	False
b1020	True
b3848	False
b0870	False
b1799	True
b2036	False
b0223	False
b0632	False
b4470	True
b2839	False
b3960	True
b4498	True
b3778	False
b0907	False
b4314	True
b0862	True
b0880	False
b3076	True
b2916	False
b0181	False
b2703	True
b2150	True
b4175	False
b1803	True
b2670	True
b1512	True
b4213	False
b4318	True
b2039	False
b0737	False
b0131	False
b1114	False
b2837	False
b3687	True
b2429	True
b3014	True
b0989	True
b1731	True
b2260	False
b4396	False
b3194	False
b3643	False
b4017	True
b3054	False
b3497	False
b0094	False
b1302	True
b2296	False
b3266	False
b0429	False
b4136	False
b3012	False
b0037	True
b2022	False
b2033	False
b1242	False
b3811	False
b4373	False
b0927	False
tyrT	True
b2183	False
b3942	False
b3195	False
b0119	False
b0405	False
b3522	True
b0631	False
b1194	True
b1023	True
b4057	False
b0163	False
b3536	False
b0546	True
b2716	True
b0095	False
b0642	False
b4172	False
b0890	False
b2364	True
b2141	True
b2945	False
b1094	False
b1024	True
b1555	True
b3737	False
b4111	False
b3742	False
b3312	True
b2351	False
b0740	False
b3364	False
b3348	False
b4034	True
gltV	True
b2832	False
b2393	False
b3083	True
metY	True
b0176	False
b3461	False
b0879	False
b0114	False
b1213	True
b4053	False
b4397	False
b0869	False
b4319	True
rrsC	True
b4573	False
b4374	False
b4054	False
b0061	True
b3037	False
b2346	False
b2593	False
b4252	True
b4523	True
b1399	False
b0709	True
b2132	False
b0070	False
b1748	True
b1807	False
b0355	False
b3388	False
b0951	False
b1919	False
b3017	False
b0427	False
b4340	True
b2964	False
b3785	False
b0859	False
b2630	False
b4460	True
b2414	True
b1990	False
b3561	True
b0448	False
b3325	False
b2282	False
b2804	True
b1520	True
b0545	True
b3175	False
b2989	False
b2509	False
b1066	False
b0080	False
b0390	True
b2234	False
b3999	False
b1535	True
b2686	False
b2142	True
tff	False
b2702	True
b0838	False
b4361	False
b3693	True
b0386	False
b3634	False
b3427	False
b4359	False
b2400	False
b1036	False
b0014	True
b1559	True
b2113	False
b3360	False
b2276	False
b0406	False
b1542	True
b2942	False
b2186	False
b0800	False
b3516	True
b2611	False
b4182	True
b3257	True
b3212	False
b4058	False
rnpB	False
b1857	True
b0389	False
b0381	False
b2218	False
b1554	True
b1122	True
b2570	False
b1067	False
b2243	True
b3885	False
b4320	True
b1053	False
b2237	False
b4190	False
b3450	True
b2735	False
b4070	True
b4672	True
b0961	False
b1707	True
b3336	True
b2425	True
b0237	False
b3244	False
b0624	False
b0861	False
b4117	False
b2647	False
b2419	True
b2298	True
b2731	False
b3437	True
b1495	True
b1463	False
b2089	True
b1166	True
b4411	True
b1128	False
b3602	False
b4293	True
b3225	True
b4147	False
b3611	False
b0417	False
b3685	False
b4014	False
b0051	False
b4380	True
b1342	False
b1338	True
b3400	True
b2307	True
omrA	True
b3343	False
b0456	True
b1339	False
b3738	False
b1264	False
b0354	False
b1900	True
b2510	False
b0958	False
b2230	True
b3930	False
b1860	False
b2709	True
b1043	True
b3038	False
b1850	False
b3780	False
b0433	False
b0430	False
b3803	False
b3967	False
b0713	False
b4371	False
b3865	False
b2025	False
b2428	True
b0805	True
b2787	True
selC	True
b3649	False
rdlD	False
b3729	False
b0428	False
b0877	False
b0924	False
b3941	False
b2518	False
b3866	False
b0274	True
b1711	False
b3727	True
b0523	False
b3287	False
b2281	False
b4209	False
b0654	False
b3042	False
b0046	True
b0913	False
b4536	False
b3219	True
b1894	True
b2012	False
b0399	False
b2913	False
b0537	False
b0458	False
b3710	True
b0845	False
b2331	False
b4015	False
b1263	False
b2941	True
b1266	False
b3233	False
b1049	False
b2079	False
b2133	False
b0197	False
b4360	False
b0915	False
b3958	True
b0325	True
b3592	False
